block_id,neighborhood_source,lon,lat,area,st_north,st_east,st_south,st_west,dates_nonzero,mean_persons,max_persons,total_persons,persistence,in_panel_261,latest_individuals,latest_tents_structures,latest_vehicles,latest_persons_adj,donor_in_block,nearest_donor_m,donor_within_200m,donor_within_400m,donor_within_800m,shelter_in_block,nearest_shelter_m,shelter_within_200m,shelter_within_400m,shelter_within_800m,foodsite_in_block,nearest_foodsite_m,foodsite_within_200m,foodsite_within_400m,foodsite_within_800m,restaurant_within_200m,restaurant_within_400m,restaurant_within_800m,restaurant_in_block,nearest_restaurant_m,unserved_need,supply_within_400m
04TH_AV_MARKET_ST,Marina,-117.1614943,32.7109505,Marina,MARKET_ST,04TH_AV,ISLAND_AV,03RD_AV,4.0,0.4166666666666667,2.0,5.0,0.3333333333333333,True,0,0.0,0,0.0,0,289.1,0,4,14,0,512.1,0,0,1,0,472.0,0,0,2,0,0,0,0,,0.4166666666666667,4
05TH_AV_ISLAND_AV,Gaslamp,-117.1605805,32.709901,Gaslamp,ISLAND_AV,05TH_AV,J_ST,04TH_AV,8.0,1.8333333333333333,7.0,22.0,0.6666666666666666,True,1,0.0,0,1.0,0,163.6,1,5,14,0,579.1,0,0,1,0,487.4,0,0,2,0,0,0,0,,1.8333333333333333,5
04TH_AV_ISLAND_AV,Marina,-117.1614691,32.7098934,Marina,ISLAND_AV,04TH_AV,J_ST,03RD_AV,4.0,0.5833333333333334,3.0,7.0,0.3333333333333333,True,2,0.0,0,2.0,0,234.7,0,6,15,0,612.9,0,0,1,0,544.3,0,0,2,0,0,0,0,,0.5833333333333334,6
06TH_AV_ISLAND_AV,Gaslamp,-117.1596516,32.7099052,Gaslamp,ISLAND_AV,06TH_AV,J_ST,05TH_AV,6.0,0.5833333333333334,2.0,7.0,0.5,True,0,0.0,0,0.0,0,109.3,2,6,14,0,555.5,0,0,3,0,437.0,0,0,2,0,0,0,0,,0.5833333333333334,6
05TH_AV_J_ST,Gaslamp,-117.160541,32.7088473,Gaslamp,J_ST,05TH_AV,K_ST,04TH_AV,6.0,0.8333333333333334,3.0,10.0,0.5,True,2,0.0,0,2.0,0,116.6,4,8,13,0,689.7,0,0,1,0,580.4,0,0,2,0,0,0,0,,0.8333333333333334,8
05TH_AV_G_ST,Gaslamp,-117.1605939,32.7120267,Gaslamp,G_ST,05TH_AV,MARKET_ST,04TH_AV,10.0,2.2291666666666665,6.75,26.75,0.8333333333333334,True,0,0.0,0,0.0,0,331.6,0,6,14,0,365.8,0,1,1,0,339.5,0,2,2,0,0,0,0,,0.0,6
04TH_AV_G_ST,Marina,-117.1615051,32.7120166,Marina,G_ST,04TH_AV,MARKET_ST,03RD_AV,11.0,3.9166666666666665,13.0,47.0,0.9166666666666666,True,3,0.0,0,3.0,0,253.2,0,4,16,0,418.6,0,0,1,0,419.0,0,0,2,0,0,0,0,,3.9166666666666665,4
05TH_AV_E_ST,Gaslamp,-117.1606053,32.7141324,Gaslamp,E_ST,05TH_AV,F_ST,04TH_AV,10.0,3.0625,7.0,36.75,0.8333333333333334,True,2,0.0,0,2.0,0,98.3,3,6,12,0,210.7,0,1,2,0,323.2,0,1,3,0,0,0,0,,0.0,6
04TH_AV_BROADWAY,City Center,-117.1624468,32.7140043,City Center,BROADWAY,04TH_AV,G_ST,01ST_AV,10.0,5.125,27.75,61.5,0.8333333333333334,True,3,0.0,0,3.0,1,189.9,1,6,12,0,380.1,0,1,2,0,488.4,0,0,3,0,0,0,0,,5.125,6
06TH_AV_J_ST,Gaslamp,-117.159649,32.7088562,Gaslamp,J_ST,06TH_AV,K_ST,05TH_AV,6.0,1.1666666666666667,5.0,14.0,0.5,True,2,0.0,0,2.0,1,45.0,4,7,12,0,670.4,0,0,3,0,528.9,0,0,2,0,0,0,0,,1.1666666666666667,7
05TH_AV_K_ST,Gaslamp,-117.1604955,32.7077649,Gaslamp,K_ST,05TH_AV,Map_Border,04TH_AV,7.0,0.75,2.0,9.0,0.5833333333333334,True,1,0.0,0,1.0,1,3.9,3,8,10,0,805.1,0,0,0,0,674.0,0,0,2,0,0,0,0,,0.75,8
06TH_AV_MARKET_ST,Gaslamp,-117.1596713,32.7109659,Gaslamp,MARKET_ST,06TH_AV,ISLAND_AV,05TH_AV,10.0,3.4166666666666665,12.0,41.0,0.8333333333333334,True,3,0.0,0,3.0,0,215.5,0,4,14,0,440.7,0,0,3,0,341.8,0,2,2,0,0,0,0,,0.0,4
06TH_AV_BROADWAY,Gaslamp,-117.1597059,32.7151784,Gaslamp,BROADWAY,06TH_AV,E_ST,05TH_AV,11.0,4.25,13.0,51.0,0.9166666666666666,True,8,0.0,0,8.0,0,49.3,4,4,10,0,120.5,1,1,2,0,307.4,0,1,3,0,0,0,0,,0.0,4
06TH_AV_C_ST,City Center,-117.1597014,32.7162296,City Center,C_ST,06TH_AV,BROADWAY,05TH_AV,10.0,4.335833333333333,16.0,52.03,0.8333333333333334,True,16,0.0,0,16.0,1,19.1,4,4,9,0,194.9,1,1,2,0,396.2,0,1,4,0,0,0,0,,0.0,4
07TH_AV_BROADWAY,City Center,-117.158807,32.7151884,City Center,BROADWAY,07TH_AV,E_ST,06TH_AV,5.0,2.6666666666666665,23.25,32.0,0.4166666666666667,True,3,0.0,0,3.0,1,38.8,3,4,9,1,51.9,1,1,2,0,253.2,0,2,3,0,0,0,0,,0.0,4
07TH_AV_C_ST,City Center,-117.1588143,32.7162388,City Center,C_ST,07TH_AV,BROADWAY,06TH_AV,8.0,1.6666666666666667,5.0,20.0,0.6666666666666666,True,0,0.0,0,0.0,0,64.4,2,4,8,0,162.9,1,1,2,0,356.6,0,1,4,0,0,0,0,,0.0,4
05TH_AV_BROADWAY,Gaslamp,-117.1606163,32.7151718,Gaslamp,BROADWAY,05TH_AV,E_ST,04TH_AV,12.0,8.708333333333334,20.0,104.5,1.0,True,6,0.0,0,6.0,1,25.7,4,5,10,0,202.5,0,1,2,0,374.0,0,1,3,0,0,0,0,,0.0,5
05TH_AV_C_ST,City Center,-117.1606236,32.7162302,City Center,C_ST,05TH_AV,BROADWAY,04TH_AV,10.0,1.9583333333333333,5.0,23.5,0.8333333333333334,True,1,0.0,0,1.0,0,97.6,4,5,9,0,254.8,0,1,2,0,450.9,0,0,4,0,0,0,0,,1.9583333333333333,5
06TH_AV_L_ST,Gaslamp,-117.1597181,32.7068019,Gaslamp,L_ST,06TH_AV,HARBOR_DR,05TH_AV,11.0,2.333333333333333,6.0,28.0,0.9166666666666666,True,2,0.0,0,2.0,0,77.7,4,8,10,0,788.2,0,0,2,0,732.6,0,0,2,0,0,0,0,,2.333333333333333,8
07TH_AV_ISLAND_AV,South East Village,-117.1587482,32.7099117,East Village,ISLAND_AV,07TH_AV,J_ST,06TH_AV,11.0,6.270833333333333,19.0,75.25,0.9166666666666666,True,2,2.0,0,5.5,0,72.0,2,6,14,0,544.7,0,0,3,0,384.3,0,1,2,0,0,0,0,,0.0,6
06TH_AV_K_ST,Gaslamp,-117.1596315,32.7077977,Gaslamp,K_ST,06TH_AV,L_ST,05TH_AV,11.0,3.6666666666666665,6.0,44.0,0.9166666666666666,True,2,0.0,0,2.0,1,33.8,5,8,9,0,750.0,0,0,3,0,629.4,0,0,2,0,0,0,0,,3.6666666666666665,8
TONY_GWYNN_DR_K_ST,South East Village,-117.1587374,32.7078133,East Village,K_ST,TONY_GWYNN_DR,L_ST,06TH_AV,3.0,0.25,1.0,3.0,0.25,True,0,0.0,0,0.0,0,96.7,6,8,9,0,667.9,0,0,3,0,593.4,0,0,2,0,0,0,0,,0.25,8
07TH_AV_J_ST,South East Village,-117.1587426,32.7088603,East Village,J_ST,07TH_AV,K_ST,06TH_AV,6.0,0.6666666666666666,2.0,8.0,0.5,True,0,0.0,0,0.0,1,45.6,3,6,12,0,651.4,0,0,3,0,486.3,0,0,2,0,0,0,0,,0.6666666666666666,6
06TH_AV_E_ST,Gaslamp,-117.1596919,32.7141385,Gaslamp,E_ST,06TH_AV,F_ST,05TH_AV,8.0,1.6666666666666667,7.0,20.0,0.6666666666666666,True,0,0.0,0,0.0,0,137.3,2,4,12,0,133.7,1,1,2,0,242.7,0,2,3,0,0,0,0,,0.0,4
07TH_AV_E_ST,East Village,-117.1587996,32.7141496,East Village,E_ST,07TH_AV,F_ST,06TH_AV,6.0,1.856666666666667,9.0,22.28,0.5,True,0,0.0,0,0.0,0,133.4,1,4,11,0,77.7,1,1,2,0,169.3,1,2,2,0,0,0,0,,0.0,4
TONY_GWYNN_DR_L_ST,South East Village,-117.1583317,32.7061663,East Village,L_ST,TONY_GWYNN_DR,PARK_BL,HARBOR_DR,0.0,0.0,0.0,0.0,0.0,True,0,0.0,0,0.0,1,72.3,2,8,8,0,698.8,0,0,2,0,758.1,0,0,2,0,0,0,0,,0.0,8
05TH_AV_F_ST,Gaslamp,-117.1605939,32.7130875,Gaslamp,F_ST,05TH_AV,G_ST,04TH_AV,12.0,3.0,6.0,36.0,1.0,True,2,0.0,0,2.0,0,213.8,0,5,15,0,273.5,0,1,1,0,309.4,0,2,2,0,0,0,0,,0.0,5
06TH_AV_F_ST,Gaslamp,-117.1596933,32.713099,Gaslamp,F_ST,06TH_AV,G_ST,05TH_AV,11.0,6.375,20.0,76.5,0.9166666666666666,True,4,0.0,0,4.0,0,235.6,0,4,14,0,219.9,0,1,1,0,225.3,0,2,2,0,0,0,0,,0.0,4
07TH_AV_MARKET_ST,South East Village,-117.1587475,32.7109631,East Village,MARKET_ST,07TH_AV,ISLAND_AV,06TH_AV,4.0,0.9583333333333334,6.5,11.5,0.3333333333333333,True,0,0.0,0,0.0,0,186.6,1,4,14,0,427.8,0,0,3,0,293.4,0,2,2,0,0,0,0,,0.0,4
06TH_AV_G_ST,Gaslamp,-117.1596875,32.7120348,Gaslamp,G_ST,06TH_AV,MARKET_ST,05TH_AV,12.0,2.9375,4.75,35.25,1.0,True,3,0.0,0,3.0,0,324.1,0,4,14,0,327.3,0,1,1,0,264.3,0,2,2,0,0,0,0,,0.0,4
07TH_AV_G_ST,East Village,-117.1587796,32.7120424,East Village,G_ST,07TH_AV,MARKET_ST,06TH_AV,8.0,1.5833333333333333,7.0,19.0,0.6666666666666666,True,0,0.0,0,0.0,0,306.4,0,4,14,0,308.1,0,1,3,0,197.0,1,2,2,0,0,0,0,,0.0,4
07TH_AV_F_ST,East Village,-117.1587686,32.7130998,East Village,F_ST,07TH_AV,G_ST,06TH_AV,5.0,1.1666666666666667,5.0,14.0,0.4166666666666667,True,4,0.0,0,4.0,0,248.2,0,4,12,0,190.9,1,1,3,0,139.3,1,2,2,0,0,0,0,,0.0,4
22ND_ST_E_ST,Golden Hill,-117.1444639,32.7142172,Outside Perimeter,E_ST,22ND_ST,F_ST,21ST_ST,,,,,,False,0,0.0,0,0.0,0,521.5,0,0,2,0,365.5,0,1,5,0,582.6,0,0,1,0,0,0,0,,0.0,0
21ST_ST_E_ST,Golden Hill,-117.1453569,32.7142517,Outside Perimeter,E_ST,21ST_ST,F_ST,20TH_ST,,,,,,False,0,0.0,0,0.0,0,458.5,0,0,2,0,370.4,0,2,5,0,545.8,0,0,1,0,0,0,0,,0.0,0
25TH_ST_SR-94_WB,Golden Hill,-117.1419995,32.713132,Outside Perimeter,SR-94_WB,25TH_ST,SR-94_EB,22ND_ST,,,,,,False,0,0.0,0,0.0,0,680.4,0,0,1,0,445.6,0,0,5,0,657.8,0,0,1,0,0,0,0,,0.0,0
22ND_ST_BROADWAY,Golden Hill,-117.1464733,32.7142189,Outside Perimeter,BROADWAY,22ND_ST,I-5_SB_OFF_RA,I-5_NB,,,,,,False,0,0.0,0,0.0,0,384.2,0,1,2,0,284.5,0,2,7,0,507.4,0,0,1,0,0,0,0,,0.0,1
23RD_ST_E_ST,Golden Hill,-117.1435701,32.7142204,Outside Perimeter,E_ST,23RD_ST,F_ST,22ND_ST,,,,,,False,0,0.0,0,0.0,0,591.9,0,0,2,0,375.3,0,1,5,0,631.7,0,0,1,0,0,0,0,,0.0,0
27TH_ST_B_ST,Golden Hill,-117.1371217,32.7173875,Outside Perimeter,B_ST,27TH_ST,C_ST,26TH_ST,,,,,,False,0,0.0,0,0.0,0,1291.3,0,0,0,0,691.2,0,0,1,0,1309.1,0,0,0,0,0,0,0,,0.0,0
27TH_ST_A_ST,Golden Hill,-117.1371302,32.7184356,Outside Perimeter,A_ST,27TH_ST,B_ST,26TH_ST,,,,,,False,0,0.0,0,0.0,0,1353.6,0,0,0,0,698.1,0,0,2,0,1386.7,0,0,0,0,0,0,0,,0.0,0
28TH_ST_B_ST,Golden Hill,-117.1349323,32.7173994,Outside Perimeter,B_ST,28TH_ST,C_ST,27TH_ST,,,,,,False,0,0.0,0,0.0,0,1472.2,0,0,0,0,896.2,0,0,0,0,1472.5,0,0,0,0,0,0,0,,0.0,0
28TH_ST_A_ST,Golden Hill,-117.1349655,32.7184471,Outside Perimeter,A_ST,28TH_ST,B_ST,27TH_ST,,,,,,False,0,0.0,0,0.0,0,1525.1,0,0,0,0,868.6,0,0,0,0,1540.0,0,0,0,0,0,0,0,,0.0,0
28TH_ST_RUSS_BL,Golden Hill,-117.134985,32.7192082,Outside Perimeter,RUSS_BL,28TH_ST,A_ST,27TH_ST,,,,,,False,0,0.0,0,0.0,0,1568.3,0,0,0,0,797.7,0,0,1,0,1593.0,0,0,0,0,0,0,0,,0.0,0
22ND_ST_B_ST,Golden Hill,-117.1444915,32.7173511,Outside Perimeter,B_ST,22ND_ST,C_ST,21ST_ST,,,,,,False,0,0.0,0,0.0,0,776.3,0,0,1,1,16.6,1,1,3,0,895.9,0,0,0,0,0,0,0,,0.0,0
21ST_ST_B_ST,Golden Hill,-117.1453824,32.7173432,Outside Perimeter,B_ST,21ST_ST,C_ST,20TH_ST,,,,,,False,0,0.0,0,0.0,0,733.4,0,0,1,0,84.5,1,1,3,0,869.7,0,0,0,0,0,0,0,,0.0,0
19TH_ST_I-5_SB_OFF_RA,Golden Hill,-117.1472282,32.7175296,Outside Perimeter,I-5_SB_OFF_RA,19TH_ST,BROADWAY,I-5_NB,,,,,,False,3,7.0,0,15.25,0,691.4,0,0,1,0,255.6,0,1,3,0,862.1,0,0,0,0,0,0,0,,0.0,0
21ST_ST_RUSS_BL,Golden Hill,-117.1452507,32.7187746,Outside Perimeter,RUSS_BL,21ST_ST,B_ST,I-5_NB_OFF_RA,,,,,,False,0,5.0,0,8.75,0,882.7,0,0,0,0,158.4,1,1,3,0,1027.2,0,0,0,0,0,0,0,,0.0,0
22ND_ST_C_ST,Golden Hill,-117.1444968,32.7163093,Outside Perimeter,C_ST,22ND_ST,BROADWAY,21ST_ST,,,,,,False,0,0.0,0,0.0,0,681.6,0,0,1,0,132.5,1,1,4,0,787.9,0,0,1,0,0,0,0,,0.0,0
21ST_ST_C_ST,Golden Hill,-117.1453954,32.7162995,Outside Perimeter,C_ST,21ST_ST,BROADWAY,20TH_ST,,,,,,False,0,0.0,0,0.0,0,632.0,0,0,2,0,157.8,1,1,5,0,757.8,0,0,1,0,0,0,0,,0.0,0
