block_id,dates_nonzero,mean_persons,max_persons,total_persons,area,lon,lat,st_east,st_north,persistence
04TH_AV_B_ST,8,11.625,47.75,139.5,City Center,-117.1615558,32.7172806,04TH_AV,B_ST,0.6666666666666666
05TH_AV_CEDAR_ST,11,10.979166666666666,22.75,131.75,Cortez,-117.1606714,32.7214611,05TH_AV,CEDAR_ST,0.9166666666666666
15TH_ST_J_ST,11,10.825833333333334,46.0,129.91,East Village,-117.1511125,32.7088926,15TH_ST,J_ST,0.9166666666666666
I-5_SB_OFF_RA_J_ST,9,10.44,31.25,125.28,East Village,-117.1481715,32.7089424,I-5_SB_OFF_RA,J_ST,0.75
14TH_ST_IMPERIAL_AV,8,10.416666666666666,38.25,125.0,East Village,-117.1522731,32.705974,14TH_ST,IMPERIAL_AV,0.6666666666666666
03RD_AV_I-5_SB,7,10.1325,36.03,121.59,Cortez,-117.1625336,32.7223266,03RD_AV,I-5_SB,0.5833333333333334
16TH_ST_G_ST,11,10.044166666666667,16.75,120.53,East Village,-117.1499191,32.7120806,16TH_ST,G_ST,0.9166666666666666
13TH_ST_K_ST,8,9.958333333333334,35.5,119.5,East Village,-117.1532529,32.7078497,13TH_ST,K_ST,0.6666666666666666
10TH_AV_B_ST,12,9.229166666666666,37.0,110.75,City Center,-117.1560639,32.7172883,10TH_AV,B_ST,1.0
09TH_AV_BROADWAY,10,8.895833333333334,22.0,106.75,City Center,-117.156977,32.7151974,09TH_AV,BROADWAY,0.8333333333333334
UNION_ST_W_C_ST,8,8.770833333333334,30.75,105.25,Columbia,-117.1660445,32.7162224,UNION_ST,W_C_ST,0.6666666666666666
13TH_ST_BROADWAY,11,8.7475,30.75,104.97,East Village,-117.1533262,32.7152197,13TH_ST,BROADWAY,0.9166666666666666
05TH_AV_BROADWAY,12,8.708333333333334,20.0,104.5,Gaslamp,-117.1606163,32.7151718,05TH_AV,BROADWAY,1.0
14TH_ST_L_ST,12,8.661666666666667,18.5,103.94,East Village,-117.1523303,32.7068041,14TH_ST,L_ST,1.0
UNION_ST_W_A_ST,12,8.270833333333334,25.75,99.25,Columbia,-117.1660611,32.7182992,UNION_ST,W_A_ST,1.0
14TH_ST_ISLAND_AV,10,7.4325,25.41,89.19,East Village,-117.1523586,32.7099402,14TH_ST,ISLAND_AV,0.8333333333333334
10TH_AV_C_ST,8,7.395833333333333,55.5,88.75,City Center,-117.1560671,32.7162421,10TH_AV,C_ST,0.6666666666666666
FRONT_ST_W_B_ST,9,7.375,20.5,88.5,City Center,-117.1651867,32.7172606,FRONT_ST,W_B_ST,0.75
I-5_SB_OFF_RA_Map_Border,10,6.780833333333334,15.75,81.37,East Village,-117.1484631,32.7080044,I-5_SB_OFF_RA,Map_Border,0.8333333333333334
09TH_AV_C_ST,9,6.75,24.0,81.0,City Center,-117.1569898,32.7162425,09TH_AV,C_ST,0.75
11TH_AV_C_ST,11,6.395833333333333,22.75,76.75,City Center,-117.1551682,32.7162482,11TH_AV,C_ST,0.9166666666666666
15TH_ST_MARKET_ST,11,6.388333333333333,14.91,76.66,East Village,-117.1511361,32.7109935,15TH_ST,MARKET_ST,0.9166666666666666
06TH_AV_F_ST,11,6.375,20.0,76.5,Gaslamp,-117.1596933,32.713099,06TH_AV,F_ST,0.9166666666666666
07TH_AV_ISLAND_AV,11,6.270833333333333,19.0,75.25,East Village,-117.1587482,32.7099117,07TH_AV,ISLAND_AV,0.9166666666666666
PARK_BL_C_ST,12,6.25,16.0,75.0,City Center,-117.1542651,32.7162557,PARK_BL,C_ST,1.0
FRONT_ST_W_A_ST,9,5.979166666666667,12.25,71.75,City Center,-117.165161,32.7182965,FRONT_ST,W_A_ST,0.75
16TH_ST_IMPERIAL_AV,11,5.9191666666666665,12.059999999999999,71.03,East Village,-117.1498956,32.7057509,16TH_ST,IMPERIAL_AV,0.9166666666666666
16TH_ST_F_ST,9,5.710833333333333,14.0,68.53,East Village,-117.1499278,32.7131519,16TH_ST,F_ST,0.75
08TH_AV_BROADWAY,4,5.5025,40.25,66.03,City Center,-117.1578757,32.7151887,08TH_AV,BROADWAY,0.3333333333333333
17TH_ST_IMPERIAL_AV,12,5.480833333333333,8.12,65.77,East Village,-117.148974,32.7057471,17TH_ST,IMPERIAL_AV,1.0
KETTNER_BL_W_E_ST,8,5.458333333333333,19.25,65.5,Marina,-117.1701433,32.7140949,KETTNER_BL,W_E_ST,0.6666666666666666
14TH_ST_F_ST,8,5.270833333333333,15.75,63.25,East Village,-117.1523916,32.713136,14TH_ST,F_ST,0.6666666666666666
11TH_AV_B_ST,11,5.270833333333333,22.75,63.25,City Center,-117.1551753,32.7172964,11TH_AV,B_ST,0.9166666666666666
04TH_AV_BROADWAY,10,5.125,27.75,61.5,City Center,-117.1624468,32.7140043,04TH_AV,BROADWAY,0.8333333333333334
13TH_ST_MARKET_ST,11,5.005,8.03,60.06,East Village,-117.1532832,32.7109913,13TH_ST,MARKET_ST,0.9166666666666666
13TH_ST_ISLAND_AV,10,4.854166666666667,20.25,58.25,East Village,-117.1532643,32.709928,13TH_ST,ISLAND_AV,0.8333333333333334
08TH_AV_MARKET_ST,10,4.8125,11.5,57.75,East Village,-117.1578318,32.7109649,08TH_AV,MARKET_ST,0.8333333333333334
INDIA_ST_W_B_ST,9,4.7525,15.03,57.03,Columbia,-117.1687224,32.7167409,INDIA_ST,W_B_ST,0.75
PARK_BL_B_ST,11,4.6875,11.75,56.25,City Center,-117.1542247,32.7172888,PARK_BL,B_ST,0.9166666666666666
14TH_ST_MARKET_ST,9,4.6875,11.5,56.25,East Village,-117.1523631,32.7109961,14TH_ST,MARKET_ST,0.75
PARK_BL_A_ST,9,4.671666666666667,15.03,56.06,City Center,-117.1542312,32.7183468,PARK_BL,A_ST,0.75
03RD_AV_ASH_ST,11,4.609166666666667,15.0,55.31,Cortez,-117.162472,32.7193651,03RD_AV,ASH_ST,0.9166666666666666
16TH_ST_K_ST,11,4.5441666666666665,10.03,54.53,East Village,-117.1506552,32.7073213,16TH_ST,K_ST,0.9166666666666666
10TH_AV_G_ST,9,4.5,18.25,54.0,East Village,-117.1560204,32.7120547,10TH_AV,G_ST,0.75
03RD_AV_C_ST,10,4.5,16.75,54.0,City Center,-117.162456,32.7162277,03RD_AV,C_ST,0.8333333333333334
I-5_SB_IMPERIAL_AV,8,4.411666666666666,14.28,52.94,East Village,-117.1479977,32.7057081,I-5_SB,IMPERIAL_AV,0.6666666666666666
06TH_AV_C_ST,10,4.335833333333333,16.0,52.03,City Center,-117.1597014,32.7162296,06TH_AV,C_ST,0.8333333333333334
05TH_AV_B_ST,9,4.3125,28.0,51.75,City Center,-117.160627,32.7172852,05TH_AV,B_ST,0.75
04TH_AV_BEECH_ST,8,4.291666666666667,16.0,51.5,Cortez,-117.1615763,32.7204154,04TH_AV,BEECH_ST,0.6666666666666666
KETTNER_BL_W_A_ST,10,4.270833333333333,7.75,51.25,Columbia,-117.1696087,32.7172597,KETTNER_BL,W_A_ST,0.8333333333333334
06TH_AV_BROADWAY,11,4.25,13.0,51.0,Gaslamp,-117.1597059,32.7151784,06TH_AV,BROADWAY,0.9166666666666666
09TH_AV_F_ST,12,4.1925,11.5,50.31,East Village,-117.1569871,32.7131219,09TH_AV,F_ST,1.0
03RD_AV_J_ST,9,4.19,13.0,50.28,Marina,-117.1623282,32.7084097,03RD_AV,J_ST,0.75
17TH_ST_F_ST,11,4.1825,23.75,50.19,East Village,-117.1490065,32.7131541,17TH_ST,F_ST,0.9166666666666666
13TH_ST_J_ST,5,3.9375,15.75,47.25,East Village,-117.1532612,32.7088911,13TH_ST,J_ST,0.4166666666666667
04TH_AV_G_ST,11,3.9166666666666665,13.0,47.0,Marina,-117.1615051,32.7120166,04TH_AV,G_ST,0.9166666666666666
FRONT_ST_W_ASH_ST,7,3.6666666666666665,11.0,44.0,Cortez,-117.1651687,32.7193522,FRONT_ST,W_ASH_ST,0.5833333333333334
13TH_ST_IMPERIAL_AV,3,3.6666666666666665,29.0,44.0,East Village,-117.1529333,32.7061363,13TH_ST,IMPERIAL_AV,0.25
06TH_AV_K_ST,11,3.6666666666666665,6.0,44.0,Gaslamp,-117.1596315,32.7077977,06TH_AV,K_ST,0.9166666666666666
I-5_SB_ON_RA_C_ST,8,3.6449999999999996,21.0,43.739999999999995,East Village,-117.1483469,32.7162533,I-5_SB_ON_RA,C_ST,0.6666666666666666
06TH_AV_MARKET_ST,10,3.4166666666666665,12.0,41.0,Gaslamp,-117.1596713,32.7109659,06TH_AV,MARKET_ST,0.8333333333333334
13TH_ST_L_ST,10,3.3541666666666665,8.0,40.25,East Village,-117.1532624,32.7068048,13TH_ST,L_ST,0.8333333333333334
11TH_AV_BROADWAY,10,3.3333333333333335,13.75,40.0,City Center,-117.1551477,32.715209,11TH_AV,BROADWAY,0.8333333333333334
04TH_AV_A_ST,10,3.3125,7.75,39.75,City Center,-117.161562,32.7183232,04TH_AV,A_ST,0.8333333333333334
05TH_AV_ASH_ST,10,3.2916666666666665,6.0,39.5,Cortez,-117.1606493,32.7193752,05TH_AV,ASH_ST,0.8333333333333334
11TH_AV_A_ST,11,3.1458333333333335,8.0,37.75,City Center,-117.1551703,32.7183485,11TH_AV,A_ST,0.9166666666666666
12TH_AV_PARK_BL,8,3.125,16.5,37.5,East Village,-117.1545023,32.7069832,12TH_AV,PARK_BL,0.6666666666666666
05TH_AV_E_ST,10,3.0625,7.0,36.75,Gaslamp,-117.1606053,32.7141324,05TH_AV,E_ST,0.8333333333333334
05TH_AV_F_ST,12,3.0,6.0,36.0,Gaslamp,-117.1605939,32.7130875,05TH_AV,F_ST,1.0
06TH_AV_G_ST,12,2.9375,4.75,35.25,Gaslamp,-117.1596875,32.7120348,06TH_AV,G_ST,1.0
13TH_ST_G_ST,7,2.9166666666666665,10.0,35.0,East Village,-117.1533019,32.7120729,13TH_ST,G_ST,0.5833333333333334
05TH_AV_MARKET_ST,11,2.8775,7.75,34.53,Gaslamp,-117.1605705,32.710951,05TH_AV,MARKET_ST,0.9166666666666666
02ND_AV_ISLAND_AV,7,2.7758333333333334,13.25,33.31,Marina,-117.1633191,32.7098806,02ND_AV,ISLAND_AV,0.5833333333333334
07TH_AV_BROADWAY,5,2.6666666666666665,23.25,32.0,City Center,-117.158807,32.7151884,07TH_AV,BROADWAY,0.4166666666666667
04TH_AV_C_ST,6,2.625,17.5,31.5,City Center,-117.1615429,32.7162311,04TH_AV,C_ST,0.5
17TH_ST_C_ST,5,2.5908333333333333,24.0,31.09,East Village,-117.1490392,32.7162877,17TH_ST,C_ST,0.4166666666666667
04TH_AV_CEDAR_ST,8,2.5883333333333334,8.03,31.06,Cortez,-117.1615802,32.7214559,04TH_AV,CEDAR_ST,0.6666666666666666
15TH_ST_F_ST,7,2.44,17.25,29.28,East Village,-117.1511605,32.7131435,15TH_ST,F_ST,0.5833333333333334
I-5_SB_ON_RA_G_ST,4,2.3958333333333335,24.0,28.75,East Village,-117.1481739,32.7120816,I-5_SB_ON_RA,G_ST,0.3333333333333333
06TH_AV_L_ST,11,2.3333333333333335,6.0,28.0,Gaslamp,-117.1597181,32.7068019,06TH_AV,L_ST,0.9166666666666666
10TH_AV_E_ST,6,2.25,11.5,27.0,East Village,-117.1560379,32.7141601,10TH_AV,E_ST,0.5
05TH_AV_G_ST,10,2.2291666666666665,6.75,26.75,Gaslamp,-117.1605939,32.7120267,05TH_AV,G_ST,0.8333333333333334
16TH_ST_BROADWAY,5,2.0208333333333335,7.0,24.25,East Village,-117.149933,32.7152315,16TH_ST,BROADWAY,0.4166666666666667
STATE_ST_W_ASH_ST,5,2.0208333333333335,11.75,24.25,Columbia,-117.1669349,32.7193487,STATE_ST,W_ASH_ST,0.4166666666666667
13TH_ST_F_ST,7,1.9791666666666667,8.5,23.75,East Village,-117.1532985,32.7131305,13TH_ST,F_ST,0.5833333333333334
05TH_AV_C_ST,10,1.9583333333333333,5.0,23.5,City Center,-117.1606236,32.7162302,05TH_AV,C_ST,0.8333333333333334
15TH_ST_ISLAND_AV,5,1.9383333333333332,7.9799999999999995,23.259999999999998,East Village,-117.1511399,32.7099405,15TH_ST,ISLAND_AV,0.4166666666666667
06TH_AV_CEDAR_ST,5,1.9375,7.0,23.25,Cortez,-117.1597531,32.7214606,06TH_AV,CEDAR_ST,0.4166666666666667
06TH_AV_A_ST,6,1.8958333333333333,9.75,22.75,City Center,-117.1597219,32.7183308,06TH_AV,A_ST,0.5
07TH_AV_E_ST,6,1.8566666666666667,9.0,22.28,East Village,-117.1587996,32.7141496,07TH_AV,E_ST,0.5
05TH_AV_ISLAND_AV,8,1.8333333333333333,7.0,22.0,Gaslamp,-117.1605805,32.709901,05TH_AV,ISLAND_AV,0.6666666666666666
03RD_AV_G_ST,8,1.805,4.0,21.66,Marina,-117.1624121,32.7120133,03RD_AV,G_ST,0.6666666666666666
10TH_AV_BROADWAY,6,1.7708333333333333,8.0,21.25,City Center,-117.1560569,32.7152016,10TH_AV,BROADWAY,0.5
PARK_BL_BROADWAY,9,1.7291666666666667,7.0,20.75,City Center,-117.1542276,32.7152116,PARK_BL,BROADWAY,0.75
17TH_ST_G_ST,9,1.7083333333333333,5.5,20.5,East Village,-117.1490078,32.7120842,17TH_ST,G_ST,0.75
PARK_BL_E_ST,7,1.6875,5.0,20.25,East Village,-117.154232,32.7141746,PARK_BL,E_ST,0.5833333333333334
06TH_AV_E_ST,8,1.6666666666666667,7.0,20.0,Gaslamp,-117.1596919,32.7141385,06TH_AV,E_ST,0.6666666666666666
07TH_AV_C_ST,8,1.6666666666666667,5.0,20.0,City Center,-117.1588143,32.7162388,07TH_AV,C_ST,0.6666666666666666
PARK_BL_MARKET_ST,10,1.6666666666666667,4.0,20.0,East Village,-117.1541961,32.7109863,PARK_BL,MARKET_ST,0.8333333333333334
06TH_AV_B_ST,6,1.6458333333333333,7.0,19.75,City Center,-117.1597396,32.7172918,06TH_AV,B_ST,0.5
09TH_AV_B_ST,6,1.5966666666666667,7.0,19.16,City Center,-117.1570047,32.7172966,09TH_AV,B_ST,0.5
07TH_AV_B_ST,7,1.5833333333333333,4.0,19.0,City Center,-117.1588132,32.7172886,07TH_AV,B_ST,0.5833333333333334
07TH_AV_G_ST,8,1.5833333333333333,7.0,19.0,East Village,-117.1587796,32.7120424,07TH_AV,G_ST,0.6666666666666666
08TH_AV_F_ST,7,1.5416666666666667,5.5,18.5,East Village,-117.1578741,32.7131096,08TH_AV,F_ST,0.5833333333333334
01ST_AV_I-5_SB,2,1.5416666666666667,17.5,18.5,Cortez,-117.1643142,32.7227731,01ST_AV,I-5_SB,0.16666666666666666
05TH_AV_BEECH_ST,3,1.5208333333333333,16.25,18.25,Cortez,-117.1606585,32.7204177,05TH_AV,BEECH_ST,0.25
COLUMBIA_ST_W_C_ST,7,1.5,7.0,18.0,Columbia,-117.1678207,32.7162135,COLUMBIA_ST,W_C_ST,0.5833333333333334
14TH_ST_BROADWAY,3,1.4791666666666667,13.75,17.75,East Village,-117.1524186,32.7152244,14TH_ST,BROADWAY,0.25
11TH_AV_G_ST,5,1.4583333333333333,10.75,17.5,East Village,-117.1551275,32.7120633,11TH_AV,G_ST,0.4166666666666667
14TH_ST_C_ST,8,1.4508333333333334,5.25,17.41,East Village,-117.1523968,32.7162585,14TH_ST,C_ST,0.6666666666666666
09TH_AV_G_ST,6,1.4375,6.25,17.25,East Village,-117.156925,32.7120459,09TH_AV,G_ST,0.5
10TH_AV_J_ST,6,1.4166666666666667,6.0,17.0,East Village,-117.1568893,32.707721,10TH_AV,J_ST,0.5
07TH_AV_ASH_ST,5,1.4166666666666667,5.0,17.0,Cortez,-117.158832,32.7193765,07TH_AV,ASH_ST,0.4166666666666667
FRONT_ST_W_C_ST,4,1.3958333333333333,9.75,16.75,City Center,-117.1651725,32.7162289,FRONT_ST,W_C_ST,0.3333333333333333
03RD_AV_CEDAR_ST,6,1.375,4.75,16.5,Cortez,-117.1624937,32.7214529,03RD_AV,CEDAR_ST,0.5
I-5_SB_ON_RA_Map_Border,4,1.3125,9.5,15.75,East Village,-117.148167,32.706935,I-5_SB_ON_RA,Map_Border,0.3333333333333333
15TH_ST_E_ST,5,1.3125,6.5,15.75,East Village,-117.151182,32.7141905,15TH_ST,E_ST,0.4166666666666667
COLUMBIA_ST_W_G_ST,9,1.2916666666666667,3.0,15.5,Marina,-117.1682576,32.7119064,COLUMBIA_ST,W_G_ST,0.75
STATE_ST_W_BROADWAY,7,1.25,4.0,15.0,Columbia,-117.1678381,32.7151604,STATE_ST,W_BROADWAY,0.5833333333333334
01ST_AV_W_F_ST,5,1.25,8.0,15.0,City Center,-117.164253,32.713081,01ST_AV,W_F_ST,0.4166666666666667
01ST_AV_W_B_ST,3,1.2291666666666667,7.0,14.75,City Center,-117.1642733,32.7172579,01ST_AV,W_B_ST,0.25
KETTNER_BL_W_F_ST,4,1.2083333333333333,10.5,14.5,Marina,-117.1701177,32.7130513,KETTNER_BL,W_F_ST,0.3333333333333333
STATE_ST_Map_Border,7,1.1691666666666667,4.029999999999999,14.03,Marina,-117.1678267,32.7135653,STATE_ST,Map_Border,0.5833333333333334
07TH_AV_F_ST,5,1.1666666666666667,5.0,14.0,East Village,-117.1587686,32.7130998,07TH_AV,F_ST,0.4166666666666667
06TH_AV_J_ST,6,1.1666666666666667,5.0,14.0,Gaslamp,-117.159649,32.7088562,06TH_AV,J_ST,0.5
I-5_SB_ON_RA_F_ST,5,1.1616666666666666,4.779999999999999,13.94,East Village,-117.1482564,32.7131625,I-5_SB_ON_RA,F_ST,0.4166666666666667
17TH_ST_E_ST,6,1.13,4.5,13.559999999999999,East Village,-117.1489562,32.7141842,17TH_ST,E_ST,0.5
01ST_AV_W_ISLAND_AV,7,1.1041666666666667,4.5,13.25,Marina,-117.1643067,32.7097153,01ST_AV,W_ISLAND_AV,0.5833333333333334
01ST_AV_W_BEECH_ST,3,1.1041666666666667,6.25,13.25,Cortez,-117.1643077,32.7204067,01ST_AV,W_BEECH_ST,0.25
06TH_AV_ASH_ST,6,1.0833333333333333,6.0,13.0,Cortez,-117.159752,32.7193801,06TH_AV,ASH_ST,0.5
11TH_AV_MARKET_ST,5,1.0833333333333333,4.0,13.0,East Village,-117.155121,32.7109849,11TH_AV,MARKET_ST,0.4166666666666667
02ND_AV_CEDAR_ST,6,1.065,4.0,12.78,Cortez,-117.1634179,32.7214684,02ND_AV,CEDAR_ST,0.5
08TH_AV_G_ST,6,1.0625,3.75,12.75,East Village,-117.1578632,32.7120448,08TH_AV,G_ST,0.5
04TH_AV_J_ST,7,1.055,3.66,12.66,Marina,-117.1614727,32.7088488,04TH_AV,J_ST,0.5833333333333334
03RD_AV_MARKET_ST,6,1.0,4.0,12.0,Marina,-117.1623893,32.7109401,03RD_AV,MARKET_ST,0.5
10TH_AV_ISLAND_AV,6,1.0,3.0,12.0,East Village,-117.1559891,32.7099117,10TH_AV,ISLAND_AV,0.5
01ST_AV_W_C_ST,8,1.0,2.0,12.0,City Center,-117.1642716,32.7162294,01ST_AV,W_C_ST,0.6666666666666666
02ND_AV_G_ST,6,1.0,4.0,12.0,Marina,-117.1633075,32.7120049,02ND_AV,G_ST,0.5
04TH_AV_ASH_ST,4,0.9791666666666666,6.0,11.75,Cortez,-117.1615803,32.719375,04TH_AV,ASH_ST,0.3333333333333333
Map_Border_IMPERIAL_AV,7,0.9791666666666666,2.0,11.75,East Village,-117.1556292,32.7058874,Map_Border,IMPERIAL_AV,0.5833333333333334
07TH_AV_I-5_SB,6,0.9791666666666666,6.0,11.75,Cortez,-117.1588123,32.7224379,07TH_AV,I-5_SB,0.5
07TH_AV_MARKET_ST,4,0.9583333333333334,6.5,11.5,East Village,-117.1587475,32.7109631,07TH_AV,MARKET_ST,0.3333333333333333
10TH_AV_F_ST,5,0.9583333333333334,6.5,11.5,East Village,-117.1560443,32.7131208,10TH_AV,F_ST,0.4166666666666667
11TH_AV_E_ST,6,0.9375,4.5,11.25,East Village,-117.1551235,32.7141652,11TH_AV,E_ST,0.5
I-5_SB_MARKET_ST,6,0.9325,2.75,11.19,East Village,-117.1481409,32.7109953,I-5_SB,MARKET_ST,0.5
09TH_AV_ISLAND_AV,6,0.9166666666666666,3.0,11.0,East Village,-117.156932,32.7099196,09TH_AV,ISLAND_AV,0.5
16TH_ST_E_ST,7,0.9166666666666666,3.0,11.0,East Village,-117.149932,32.7141937,16TH_ST,E_ST,0.5833333333333334
INDIA_ST_W_A_ST,5,0.8958333333333334,5.0,10.75,Columbia,-117.1687155,32.7182884,INDIA_ST,W_A_ST,0.4166666666666667
02ND_AV_BEECH_ST,8,0.8958333333333334,2.0,10.75,Cortez,-117.1633936,32.7204076,02ND_AV,BEECH_ST,0.6666666666666666
INDIA_ST_W_ASH_ST,7,0.875,2.75,10.5,Columbia,-117.1687367,32.7193441,INDIA_ST,W_ASH_ST,0.5833333333333334
14TH_ST_J_ST,3,0.8333333333333334,7.0,10.0,East Village,-117.1523555,32.7089017,14TH_ST,J_ST,0.25
07TH_AV_A_ST,5,0.8333333333333334,3.0,10.0,City Center,-117.158841,32.7183422,07TH_AV,A_ST,0.4166666666666667
05TH_AV_J_ST,6,0.8333333333333334,3.0,10.0,Gaslamp,-117.160541,32.7088473,05TH_AV,J_ST,0.5
05TH_AV_A_ST,3,0.7916666666666666,5.5,9.5,City Center,-117.1606385,32.7183298,05TH_AV,A_ST,0.25
09TH_AV_A_ST,2,0.7708333333333334,8.25,9.25,City Center,-117.1569918,32.7183434,09TH_AV,A_ST,0.16666666666666666
15TH_ST_G_ST,3,0.75,4.0,9.0,East Village,-117.1511433,32.7120768,15TH_ST,G_ST,0.25
14TH_ST_G_ST,3,0.75,5.0,9.0,East Village,-117.1524006,32.7120823,14TH_ST,G_ST,0.25
08TH_AV_B_ST,6,0.75,3.0,9.0,City Center,-117.157879,32.7172848,08TH_AV,B_ST,0.5
16TH_ST_ISLAND_AV,5,0.75,3.0,9.0,East Village,-117.1499034,32.7099323,16TH_ST,ISLAND_AV,0.4166666666666667
05TH_AV_K_ST,7,0.75,2.0,9.0,Gaslamp,-117.1604955,32.7077649,05TH_AV,K_ST,0.5833333333333334
08TH_AV_ASH_ST,4,0.7291666666666666,5.0,8.75,Cortez,-117.1579077,32.7193799,08TH_AV,ASH_ST,0.3333333333333333
CALIFORNIA_ST_W_ASH_ST,8,0.7291666666666666,1.75,8.75,Columbia,-117.1705567,32.7177515,CALIFORNIA_ST,W_ASH_ST,0.6666666666666666
STATE_ST_W_B_ST,6,0.7291666666666666,2.0,8.75,Columbia,-117.1669394,32.7172463,STATE_ST,W_B_ST,0.5
14TH_ST_E_ST,4,0.7291666666666666,4.0,8.75,East Village,-117.1524186,32.7141857,14TH_ST,E_ST,0.3333333333333333
03RD_AV_ISLAND_AV,5,0.7216666666666667,3.0,8.66,Marina,-117.1623956,32.7098903,03RD_AV,ISLAND_AV,0.4166666666666667
13TH_ST_E_ST,4,0.7008333333333333,3.41,8.41,East Village,-117.1533283,32.7141815,13TH_ST,E_ST,0.3333333333333333
06TH_AV_I-5_SB,3,0.6716666666666665,4.029999999999999,8.059999999999999,Cortez,-117.1597543,32.722368,06TH_AV,I-5_SB,0.25
02ND_AV_C_ST,5,0.6666666666666666,3.0,8.0,City Center,-117.163365,32.7162296,02ND_AV,C_ST,0.4166666666666667
11TH_AV_K_ST,6,0.6666666666666666,3.0,8.0,East Village,-117.1551208,32.7080323,11TH_AV,K_ST,0.5
10TH_AV_A_ST,4,0.6666666666666666,5.0,8.0,City Center,-117.1560903,32.7183488,10TH_AV,A_ST,0.3333333333333333
08TH_AV_BEECH_ST,4,0.6666666666666666,3.0,8.0,Cortez,-117.1579315,32.7204208,08TH_AV,BEECH_ST,0.3333333333333333
07TH_AV_J_ST,6,0.6666666666666666,2.0,8.0,East Village,-117.1587426,32.7088603,07TH_AV,J_ST,0.5
11TH_AV_ISLAND_AV,5,0.6666666666666666,2.0,8.0,East Village,-117.1551035,32.7099236,11TH_AV,ISLAND_AV,0.4166666666666667
05TH_AV_I-5_SB,4,0.6458333333333334,4.0,7.75,Cortez,-117.1606357,32.7222727,05TH_AV,I-5_SB,0.3333333333333333
COLUMBIA_ST_W_B_ST,4,0.5833333333333334,3.0,7.0,Columbia,-117.167824,32.7172386,COLUMBIA_ST,W_B_ST,0.3333333333333333
08TH_AV_C_ST,4,0.5833333333333334,2.0,7.0,City Center,-117.1578665,32.7162322,08TH_AV,C_ST,0.3333333333333333
06TH_AV_ISLAND_AV,6,0.5833333333333334,2.0,7.0,Gaslamp,-117.1596516,32.7099052,06TH_AV,ISLAND_AV,0.5
04TH_AV_ISLAND_AV,4,0.5833333333333334,3.0,7.0,Marina,-117.1614691,32.7098934,04TH_AV,ISLAND_AV,0.3333333333333333
STATE_ST_W_C_ST,4,0.5833333333333334,3.0,7.0,Columbia,-117.1669388,32.7162225,STATE_ST,W_C_ST,0.3333333333333333
03RD_AV_BEECH_ST,5,0.5625,2.0,6.75,Cortez,-117.1624858,32.7204129,03RD_AV,BEECH_ST,0.4166666666666667
SR-163_NB_ON_RA_ASH_ST,2,0.5416666666666666,3.75,6.5,Cortez,-117.1552592,32.7193915,SR-163_NB_ON_RA,ASH_ST,0.16666666666666666
10TH_AV_MARKET_ST,4,0.5025,3.03,6.029999999999999,East Village,-117.1560318,32.7109825,10TH_AV,MARKET_ST,0.3333333333333333
KETTNER_BL_W_G_ST,3,0.5,4.0,6.0,Marina,-117.1701176,32.7120006,KETTNER_BL,W_G_ST,0.25
PARK_BL_G_ST,3,0.5,3.0,6.0,East Village,-117.1541965,32.712061,PARK_BL,G_ST,0.25
