point_id,point_type,name,block_id,area,lat,lon,demand_value,demand_date,food_type,quantity_lbs,estimated_meals,available_from,available_until,frequency,data_status,source_file,notes
demand_COLUMBIA_ST_W_A_ST,demand,COLUMBIA_ST_W_A_ST,COLUMBIA_ST_W_A_ST,Columbia,32.7182872,-117.1678202,1,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_COLUMBIA_ST_W_B_ST,demand,COLUMBIA_ST_W_B_ST,COLUMBIA_ST_W_B_ST,Columbia,32.7172386,-117.167824,3,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_COLUMBIA_ST_W_C_ST,demand,COLUMBIA_ST_W_C_ST,COLUMBIA_ST_W_C_ST,Columbia,32.7162135,-117.1678207,2,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_COLUMBIA_ST_W_G_ST,demand,COLUMBIA_ST_W_G_ST,COLUMBIA_ST_W_G_ST,Marina,32.7119064,-117.1682576,1,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_DEWEY_ST_NATIONAL_AV,demand,DEWEY_ST_NATIONAL_AV,DEWEY_ST_NATIONAL_AV,Outside Perimeter,32.6996946,-117.1446388,0,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_FRONT_ST_W_ASH_ST,demand,FRONT_ST_W_ASH_ST,FRONT_ST_W_ASH_ST,Cortez,32.7193522,-117.1651687,1,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_FRONT_ST_W_A_ST,demand,FRONT_ST_W_A_ST,FRONT_ST_W_A_ST,City Center,32.7182965,-117.165161,1,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_FRONT_ST_W_BROADWAY,demand,FRONT_ST_W_BROADWAY,FRONT_ST_W_BROADWAY,City Center,32.7151745,-117.1651688,0,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_FRONT_ST_W_B_ST,demand,FRONT_ST_W_B_ST,FRONT_ST_W_B_ST,City Center,32.7172606,-117.1651867,0,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_FRONT_ST_W_C_ST,demand,FRONT_ST_W_C_ST,FRONT_ST_W_C_ST,City Center,32.7162289,-117.1651725,0,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_FRONT_ST_W_E_ST,demand,FRONT_ST_W_E_ST,FRONT_ST_W_E_ST,City Center,32.7140973,-117.1651413,0,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_FRONT_ST_W_F_ST,demand,FRONT_ST_W_F_ST,FRONT_ST_W_F_ST,Marina,32.713051,-117.1651209,1,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_FRONT_ST_W_G_ST,demand,FRONT_ST_W_G_ST,FRONT_ST_W_G_ST,Marina,32.7120098,-117.1651522,0,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_FRONT_ST_W_MARKET_ST,demand,FRONT_ST_W_MARKET_ST,FRONT_ST_W_MARKET_ST,Marina,32.7106324,-117.1662764,1,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_FRONT_ST_W_MARKET_ST__2,demand,FRONT_ST_W_MARKET_ST__2,FRONT_ST_W_MARKET_ST__2,Marina,32.7109428,-117.1651491,0,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_I-5_SB_IMPERIAL_AV,demand,I-5_SB_IMPERIAL_AV,I-5_SB_IMPERIAL_AV,East Village,32.7057081,-117.1479977,0,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_I-5_SB_ISLAND_AV,demand,I-5_SB_ISLAND_AV,I-5_SB_ISLAND_AV,East Village,32.7099349,-117.1481553,0,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_I-5_SB_MARKET_ST,demand,I-5_SB_MARKET_ST,I-5_SB_MARKET_ST,East Village,32.7109953,-117.1481409,0,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_I-5_SB_OFF_RA_J_ST,demand,I-5_SB_OFF_RA_J_ST,I-5_SB_OFF_RA_J_ST,East Village,32.7089424,-117.1481715,31.25,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_I-5_SB_OFF_RA_Map_Border,demand,I-5_SB_OFF_RA_Map_Border,I-5_SB_OFF_RA_Map_Border,East Village,32.7080044,-117.1484631,15.75,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_I-5_SB_ON_RA_BROADWAY,demand,I-5_SB_ON_RA_BROADWAY,I-5_SB_ON_RA_BROADWAY,East Village,32.7148705,-117.1481113,0,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_I-5_SB_ON_RA_C_ST,demand,I-5_SB_ON_RA_C_ST,I-5_SB_ON_RA_C_ST,East Village,32.7162533,-117.1483469,21,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_I-5_SB_ON_RA_E_ST,demand,I-5_SB_ON_RA_E_ST,I-5_SB_ON_RA_E_ST,East Village,32.7141444,-117.1484371,3.5,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_I-5_SB_ON_RA_F_ST,demand,I-5_SB_ON_RA_F_ST,I-5_SB_ON_RA_F_ST,East Village,32.7131625,-117.1482564,1,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_I-5_SB_ON_RA_G_ST,demand,I-5_SB_ON_RA_G_ST,I-5_SB_ON_RA_G_ST,East Village,32.7120816,-117.1481739,1,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_I-5_SB_ON_RA_Map_Border,demand,I-5_SB_ON_RA_Map_Border,I-5_SB_ON_RA_Map_Border,East Village,32.706935,-117.148167,9.5,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_INDIA_ST_W_ASH_ST,demand,INDIA_ST_W_ASH_ST,INDIA_ST_W_ASH_ST,Columbia,32.7193441,-117.1687367,1,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_INDIA_ST_W_A_ST,demand,INDIA_ST_W_A_ST,INDIA_ST_W_A_ST,Columbia,32.7182884,-117.1687155,1.75,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
