block_id,area,cross_streets,lon,lat,historical_mean,latest_people,historical_max,dates_nonzero,persistence,latest_date
06TH_AV_E_ST,Gaslamp,06TH_AV & E_ST,-117.1596919,32.7141385,1.67,0.0,7.0,8,0.667,2025-01-31
07TH_AV_C_ST,City Center,07TH_AV & C_ST,-117.1588143,32.7162388,1.67,0.0,5.0,8,0.667,2025-01-31
15TH_ST_F_ST,East Village,15TH_ST & F_ST,-117.1511605,32.7131435,1.67,0.0,12.0,7,0.583,2025-01-31
17TH_ST_C_ST,East Village,17TH_ST & C_ST,-117.1490392,32.7162877,1.58,15.0,15.0,5,0.417,2025-01-31
06TH_AV_B_ST,City Center,06TH_AV & B_ST,-117.1597396,32.7172918,1.58,7.0,7.0,6,0.5,2025-01-31
07TH_AV_B_ST,City Center,07TH_AV & B_ST,-117.1588132,32.7172886,1.58,3.0,4.0,7,0.583,2025-01-31
I-5_SB_ON_RA_G_ST,East Village,I-5_SB_ON_RA & G_ST,-117.1481739,32.7120816,1.58,1.0,15.0,4,0.333,2025-01-31
07TH_AV_G_ST,East Village,07TH_AV & G_ST,-117.1587796,32.7120424,1.58,0.0,7.0,8,0.667,2025-01-31
07TH_AV_E_ST,East Village,07TH_AV & E_ST,-117.1587996,32.7141496,1.58,0.0,9.0,6,0.5,2025-01-31
STATE_ST_W_ASH_ST,Columbia,STATE_ST & W_ASH_ST,-117.1669349,32.7193487,1.58,0.0,8.0,5,0.417,2025-01-31
PARK_BL_E_ST,East Village,PARK_BL & E_ST,-117.154232,32.7141746,1.5,4.0,5.0,7,0.583,2025-01-31
COLUMBIA_ST_W_C_ST,Columbia,COLUMBIA_ST & W_C_ST,-117.1678207,32.7162135,1.5,2.0,7.0,7,0.583,2025-01-31
15TH_ST_ISLAND_AV,East Village,15TH_ST & ISLAND_AV,-117.1511399,32.7099405,1.5,2.0,6.0,5,0.417,2025-01-31
