block_id,original_demand,rank,persistence,food_access_days_per_week,baseline_served,optimized_served,baseline_unmet,optimized_unmet
KETTNER_BL_W_F_ST,1.21,144,0.333,0.0,1.21,1.21,0.0,0.0
STATE_ST_Map_Border,1.17,145,0.583,0.0,1.17,1.17,0.0,0.0
06TH_AV_J_ST,1.17,145,0.5,0.0,1.17,1.17,0.0,0.0
07TH_AV_F_ST,1.17,145,0.417,0.23,1.17,1.17,0.0,0.0
I-5_SB_ON_RA_F_ST,1.16,148,0.417,0.0,1.16,1.16,0.0,0.0
17TH_ST_E_ST,1.13,149,0.5,0.0,1.13,1.13,0.0,0.0
01ST_AV_W_BEECH_ST,1.1,150,0.25,0.46,1.1,1.1,0.0,0.0
01ST_AV_W_ISLAND_AV,1.1,150,0.583,0.0,1.1,1.1,0.0,0.0
06TH_AV_ASH_ST,1.08,152,0.5,0.0,1.08,1.08,0.0,0.0
11TH_AV_MARKET_ST,1.08,152,0.417,7.0,1.08,1.08,0.0,0.0
04TH_AV_J_ST,1.06,154,0.583,0.0,1.06,1.06,0.0,0.0
08TH_AV_G_ST,1.06,154,0.5,0.0,1.06,1.06,0.0,0.0
02ND_AV_CEDAR_ST,1.06,154,0.5,0.46,1.06,1.06,0.0,0.0
19TH_ST_J_ST,1.0,157,,0.0,1.0,1.0,0.0,0.0
02ND_AV_G_ST,1.0,157,0.5,0.0,1.0,1.0,0.0,0.0
01ST_AV_W_C_ST,1.0,157,0.667,0.0,1.0,1.0,0.0,0.0
10TH_AV_ISLAND_AV,1.0,157,0.5,7.0,1.0,1.0,0.0,0.0
03RD_AV_MARKET_ST,1.0,157,0.5,0.0,1.0,1.0,0.0,0.0
