block_id,location,area,lon,lat,historical_demand,rank,priority,persistence,months_nonzero,months_observed,avg_persons,peak_persons,latest_demand,latest_individuals,latest_tents,latest_vehicles,longitudinal_data,business_in_block,nearest_business_m,business_within_200m,business_within_400m,business_within_800m,restaurant_in_block,nearest_restaurant_m,restaurant_within_200m,restaurant_within_400m,restaurant_within_800m,foodsite_in_block,nearest_foodsite_m,foodsite_within_200m,foodsite_within_400m,foodsite_within_800m,unserved_need,supply_within_400m,pantry_within_400m,nearest_pantry_m,pantry_days_per_week,pantry_daily_within_400m,food_access_days_per_week,unserved_need_daily,unserved_need_any
19TH_ST_I-5_SB_OFF_RA,19TH ST & I-5 SB OFF RA,Outside Perimeter,-117.1472282,32.7175296,15.25,11,high,,,,,,15.25,3,7.0,0,False,0,691.4,0,0,1,0,,0,0,0,0,862.1,0,0,0,0.0,0,0,958.0,0.0,0,0.0,15.25,15.25
02ND_AV_I-5_SB,02ND AV & I-5 SB,Cortez,-117.1634219,32.7225051,14.15,12,medium,0.75,9.0,12.0,14.153333333333334,52.03,2.0,2,0.0,0,True,0,689.7,0,0,4,0,,0,0,0,0,215.3,0,6,6,0.0,0,1,288.3,0.46,0,0.46,14.15,0.0
16TH_ST_J_ST,16TH ST & J ST,East Village,-117.1498877,32.7088871,13.27,13,medium,1.0,12.0,12.0,13.270833333333334,22.0,10.25,5,3.0,0,True,0,179.9,1,2,3,0,,0,0,0,0,220.4,0,1,3,0.0,2,1,209.3,7.0,1,7.0,0.0,0.0
22ND_ST_SR-94_EB_ON_RA,22ND ST & SR-94 EB ON RA,Outside Perimeter,-117.1461263,32.7125135,13.25,14,medium,,,,,,13.25,1,7.0,0,False,0,291.9,0,1,2,0,,0,0,0,0,340.3,0,1,2,0.0,1,0,616.1,0.0,0,0.0,13.25,13.25
14TH_ST_K_ST,14TH ST & K ST,East Village,-117.1523339,32.7078495,12.91,15,medium,0.917,11.0,12.0,12.905833333333334,58.59,3.0,3,0.0,0,True,0,367.2,0,1,8,0,,0,0,0,0,477.0,0,0,4,12.905833333333334,1,1,186.4,7.0,1,7.0,0.0,0.0
17TH_ST_MARKET_ST,17TH ST & MARKET ST,East Village,-117.1490019,32.7109934,12.59,16,medium,0.917,11.0,12.0,12.591666666666669,30.0,6.0,6,0.0,0,True,1,56.4,2,2,2,0,,0,0,0,0,174.1,1,1,3,0.0,2,1,326.3,7.0,1,7.0,0.0,0.0
Map_Border_NATIONAL_AV,Map Border & NATIONAL AV,East Village,-117.1524081,32.7055029,12.42,17,medium,0.75,9.0,12.0,12.416666666666666,57.25,4.75,3,1.0,0,True,0,489.4,0,0,9,0,,0,0,0,0,319.7,0,1,2,0.0,0,0,446.6,0.0,0,0.0,12.42,12.42
17TH_ST_J_ST,17TH ST & J ST,East Village,-117.1489996,32.708891,12.23,18,medium,1.0,12.0,12.0,12.231666666666667,19.75,10.0,10,0.0,0,True,0,202.1,0,2,3,0,,0,0,0,0,151.2,1,1,2,0.0,2,1,289.1,7.0,1,7.0,0.0,0.0
UNION_ST_W_ASH_ST,UNION ST & W ASH ST,Columbia,-117.1660488,32.7193532,11.67,19,medium,1.0,12.0,12.0,11.669166666666667,25.25,6.5,3,2.0,0,True,0,271.2,0,2,7,0,,0,0,0,0,360.9,0,1,6,0.0,2,1,352.8,0.46,0,0.46,11.67,0.0
04TH_AV_B_ST,04TH AV & B ST,City Center,-117.1615558,32.7172806,11.62,20,medium,0.667,8.0,12.0,11.625,47.75,1.0,1,0.0,0,True,0,201.0,0,5,8,0,,0,0,0,0,254.3,0,1,6,0.0,5,1,276.3,0.23,0,0.23,11.62,0.0
05TH_AV_CEDAR_ST,05TH AV & CEDAR ST,Cortez,-117.1606714,32.7214611,10.98,21,medium,0.917,11.0,12.0,10.979166666666666,22.75,13.0,13,0.0,0,True,0,595.9,0,0,6,0,,0,0,0,0,93.0,2,4,6,0.0,0,0,558.1,0.0,0,0.0,10.98,10.98
15TH_ST_J_ST,15TH ST & J ST,East Village,-117.1511125,32.7088926,10.83,22,medium,0.917,11.0,12.0,10.825833333333334,46.0,2.0,2,0.0,0,True,0,207.1,0,2,6,0,,0,0,0,0,326.3,0,1,4,0.0,2,1,107.2,7.0,1,7.0,0.0,0.0
S_16TH_ST_COMMERCIAL_ST,S 16TH ST & COMMERCIAL ST,Outside Perimeter,-117.1502989,32.7048412,10.56,23,medium,,,,,,10.56,3,2.0,2,False,0,630.6,0,0,4,0,,0,0,0,0,119.9,1,1,2,0.0,0,0,542.5,0.0,0,0.0,10.56,10.56
I-5_SB_OFF_RA_J_ST,I-5 SB OFF RA & J ST,East Village,-117.1481715,32.7089424,10.44,24,medium,0.75,9.0,12.0,10.44,31.25,31.25,5,15.0,0,True,0,243.7,0,2,2,0,,0,0,0,0,101.6,1,1,3,0.0,2,1,363.9,7.0,1,7.0,0.0,0.0
14TH_ST_IMPERIAL_AV,14TH ST & IMPERIAL AV,East Village,-117.1522731,32.705974,10.42,25,medium,0.667,8.0,12.0,10.416666666666666,38.25,0.0,0,0.0,0,True,0,478.3,0,0,9,0,,0,0,0,0,340.2,0,1,2,0.0,0,1,393.3,7.0,1,7.0,0.0,0.0
03RD_AV_I-5_SB,03RD AV & I-5 SB,Cortez,-117.1625336,32.7223266,10.13,26,medium,0.583,7.0,12.0,10.1325,36.03,0.0,0,0.0,0,True,0,715.0,0,0,5,0,,0,0,0,0,145.7,2,5,6,0.0,0,1,372.0,0.46,0,0.46,10.13,0.0
16TH_ST_G_ST,16TH ST & G ST,East Village,-117.1499191,32.7120806,10.04,27,medium,0.917,11.0,12.0,10.044166666666667,16.75,10.25,5,3.0,0,True,0,107.6,2,2,2,0,,0,0,0,0,322.3,0,1,3,0.0,2,1,347.2,7.0,1,7.0,0.0,0.0
13TH_ST_K_ST,13TH ST & K ST,East Village,-117.1532529,32.7078497,9.96,28,medium,0.667,8.0,12.0,9.958333333333334,35.5,0.0,0,0.0,0,True,0,352.1,0,1,9,0,,0,0,0,0,554.3,0,0,4,9.958333333333334,1,1,218.0,7.0,1,7.0,0.0,0.0
10TH_AV_B_ST,10TH AV & B ST,City Center,-117.1560639,32.7172883,9.23,29,medium,1.0,12.0,12.0,9.229166666666666,37.0,3.0,3,0.0,0,True,0,343.9,0,2,5,0,,0,0,0,0,458.8,0,0,5,9.229166666666666,2,1,378.4,0.23,0,0.23,9.23,0.0
09TH_AV_BROADWAY,09TH AV & BROADWAY,City Center,-117.156977,32.7151974,8.9,30,medium,0.833,10.0,12.0,8.895833333333334,22.0,0.0,0,0.0,0,True,0,208.5,0,4,8,0,,0,0,0,0,213.4,0,2,4,0.0,4,1,238.7,0.23,0,0.23,8.9,0.0
UNION_ST_W_C_ST,UNION ST & W C ST,Columbia,-117.1660445,32.7162224,8.77,31,medium,0.667,8.0,12.0,8.770833333333334,30.75,0.0,0,0.0,0,True,0,111.8,2,3,11,0,,0,0,0,0,512.6,0,0,2,8.770833333333334,3,0,618.3,0.0,0,0.0,8.77,8.77
13TH_ST_BROADWAY,13TH ST & BROADWAY,East Village,-117.1533262,32.7152197,8.75,32,medium,0.917,11.0,12.0,8.7475,30.75,3.0,3,0.0,0,True,0,550.2,0,0,6,0,,0,0,0,0,401.2,0,0,3,8.7475,0,0,579.1,0.0,0,0.0,8.75,8.75
21ST_ST_RUSS_BL,21ST ST & RUSS BL,Outside Perimeter,-117.1452507,32.7187746,8.75,32,medium,,,,,,8.75,0,5.0,0,False,0,882.7,0,0,0,0,,0,0,0,0,1027.2,0,0,0,0.0,0,0,785.7,0.0,0,0.0,8.75,8.75
05TH_AV_BROADWAY,05TH AV & BROADWAY,Gaslamp,-117.1606163,32.7151718,8.71,34,medium,1.0,12.0,12.0,8.708333333333334,20.0,6.0,6,0.0,0,True,1,25.7,4,5,10,0,,0,0,0,0,374.0,0,1,4,0.0,5,1,110.8,0.23,0,0.23,8.71,0.0
14TH_ST_L_ST,14TH ST & L ST,East Village,-117.1523303,32.7068041,8.66,35,medium,1.0,12.0,12.0,8.661666666666667,18.5,6.0,6,0.0,0,True,0,446.3,0,0,8,0,,0,0,0,0,409.5,0,0,3,8.661666666666667,0,1,301.7,7.0,1,7.0,0.0,0.0
UNION_ST_W_A_ST,UNION ST & W A ST,Columbia,-117.1660611,32.7182992,8.27,36,medium,1.0,12.0,12.0,8.270833333333334,25.75,1.0,1,0.0,0,True,0,160.3,1,3,8,0,,0,0,0,0,385.6,0,1,4,0.0,3,0,469.4,0.0,0,0.0,8.27,8.27
14TH_ST_ISLAND_AV,14TH ST & ISLAND AV,East Village,-117.1523586,32.7099402,7.43,37,medium,0.833,10.0,12.0,7.4325,25.41,2.0,2,0.0,0,True,0,229.5,0,2,8,0,,0,0,0,0,427.3,0,0,4,7.4325,2,1,59.4,7.0,1,7.0,0.0,0.0
10TH_AV_C_ST,10TH AV & C ST,City Center,-117.1560671,32.7162421,7.4,38,medium,0.667,8.0,12.0,7.395833333333333,55.5,5.0,5,0.0,0,True,0,311.6,0,2,5,0,,0,0,0,0,347.3,0,2,4,0.0,2,1,332.0,0.23,0,0.23,7.4,0.0
FRONT_ST_W_B_ST,FRONT ST & W B ST,City Center,-117.1651867,32.7172606,7.38,39,medium,0.75,9.0,12.0,7.375,20.5,0.0,0,0.0,0,True,0,153.9,1,3,8,0,,0,0,0,0,374.7,0,1,3,0.0,3,0,567.6,0.0,0,0.0,7.38,7.38
I-5_SB_OFF_RA_Map_Border,I-5 SB OFF RA & Map Border,East Village,-117.1484631,32.7080044,6.78,40,medium,0.833,10.0,12.0,6.780833333333334,15.75,15.75,0,9.0,0,True,0,312.9,0,2,2,0,,0,0,0,0,209.3,0,1,2,0.0,2,1,370.8,7.0,1,7.0,0.0,0.0
09TH_AV_C_ST,09TH AV & C ST,City Center,-117.1569898,32.7162425,6.75,41,medium,0.75,9.0,12.0,6.75,24.0,0.0,0,0.0,0,True,0,232.1,0,3,6,0,,0,0,0,0,328.8,0,2,4,0.0,3,1,249.2,0.23,0,0.23,6.75,0.0
11TH_AV_C_ST,11TH AV & C ST,City Center,-117.1551682,32.7162482,6.4,42,medium,0.917,11.0,12.0,6.395833333333333,22.75,6.75,5,1.0,0,True,0,392.1,0,1,5,0,,0,0,0,0,384.2,0,1,4,0.0,1,0,414.2,0.0,0,0.0,6.4,6.4
15TH_ST_MARKET_ST,15TH ST & MARKET ST,East Village,-117.1511361,32.7109935,6.39,43,medium,0.917,11.0,12.0,6.388333333333333,14.91,3.0,3,0.0,0,True,0,119.8,1,2,5,0,,0,0,0,0,339.5,0,1,4,0.0,2,1,184.9,7.0,1,7.0,0.0,0.0
06TH_AV_F_ST,06TH AV & F ST,Gaslamp,-117.1596933,32.713099,6.38,44,medium,0.917,11.0,12.0,6.375,20.0,4.0,4,0.0,0,True,0,235.6,0,4,14,0,,0,0,0,0,225.3,0,2,3,0.0,4,1,267.9,0.23,0,0.23,6.38,0.0
07TH_AV_ISLAND_AV,07TH AV & ISLAND AV,East Village,-117.1587482,32.7099117,6.27,45,medium,0.917,11.0,12.0,6.270833333333333,19.0,5.5,2,2.0,0,True,0,72.0,2,6,14,0,,0,0,0,0,384.3,0,1,2,0.0,6,0,626.1,0.0,0,0.0,6.27,6.27
PARK_BL_C_ST,PARK BL & C ST,City Center,-117.1542651,32.7162557,6.25,46,medium,1.0,12.0,12.0,6.25,16.0,16.0,16,0.0,0,True,0,474.3,0,0,6,0,,0,0,0,0,434.8,0,0,2,6.25,0,0,497.5,0.0,0,0.0,6.25,6.25
FRONT_ST_W_A_ST,FRONT ST & W A ST,City Center,-117.165161,32.7182965,5.98,47,medium,0.75,9.0,12.0,5.979166666666667,12.25,1.0,1,0.0,0,True,0,210.7,0,3,8,0,,0,0,0,0,308.0,0,1,4,0.0,3,0,484.5,0.0,0,0.0,5.98,5.98
16TH_ST_IMPERIAL_AV,16TH ST & IMPERIAL AV,East Village,-117.1498956,32.7057509,5.92,48,medium,0.917,11.0,12.0,5.9191666666666665,12.06,3.0,3,0.0,0,True,0,528.8,0,0,3,0,,0,0,0,0,198.4,1,1,2,0.0,0,0,461.6,0.0,0,0.0,5.92,5.92
16TH_ST_F_ST,16TH ST & F ST,East Village,-117.1499278,32.7131519,5.71,49,medium,0.75,9.0,12.0,5.710833333333333,14.0,4.5,1,2.0,0,True,0,203.4,0,2,2,0,,0,0,0,0,423.0,0,0,3,5.710833333333333,2,0,450.5,0.0,0,0.0,5.71,5.71
08TH_AV_BROADWAY,08TH AV & BROADWAY,City Center,-117.1578757,32.7151887,5.5,50,medium,0.333,4.0,12.0,5.5025,40.25,0.0,0,0.0,0,True,0,124.7,2,4,8,0,,0,0,0,0,217.1,0,2,4,0.0,4,1,156.0,0.23,0,0.23,5.5,0.0
17TH_ST_IMPERIAL_AV,17TH ST & IMPERIAL AV,East Village,-117.148974,32.7057471,5.48,51,medium,1.0,12.0,12.0,5.480833333333333,8.12,5.0,5,0.0,0,True,0,537.7,0,0,3,0,,0,0,0,0,200.6,0,1,2,0.0,0,0,504.8,0.0,0,0.0,5.48,5.48
KETTNER_BL_W_E_ST,KETTNER BL & W E ST,Marina,-117.1701433,32.7140949,5.46,52,medium,0.667,8.0,12.0,5.458333333333333,19.25,0.0,0,0.0,0,True,0,303.9,0,4,7,0,,0,0,0,0,956.9,0,0,0,5.458333333333333,4,0,995.9,0.0,0,0.0,5.46,5.46
14TH_ST_F_ST,14TH ST & F ST,East Village,-117.1523916,32.713136,5.27,53,medium,0.667,8.0,12.0,5.270833333333333,15.75,0.0,0,0.0,0,True,0,366.2,0,2,7,0,,0,0,0,0,386.6,0,1,3,0.0,2,0,406.4,0.0,0,0.0,5.27,5.27
11TH_AV_B_ST,11TH AV & B ST,City Center,-117.1551753,32.7172964,5.27,53,medium,0.917,11.0,12.0,5.270833333333333,22.75,0.0,0,0.0,0,True,0,423.1,0,0,4,0,,0,0,0,0,487.4,0,0,4,5.270833333333333,0,0,451.8,0.0,0,0.0,5.27,5.27
04TH_AV_BROADWAY,04TH AV & BROADWAY,City Center,-117.1624468,32.7140043,5.12,55,medium,0.833,10.0,12.0,5.125,27.75,3.0,3,0.0,0,True,1,189.9,1,6,12,0,,0,0,0,0,488.4,0,0,4,5.125,6,1,322.3,0.23,0,0.23,5.12,0.0
13TH_ST_MARKET_ST,13TH ST & MARKET ST,East Village,-117.1532832,32.7109913,5.0,56,low,0.917,11.0,12.0,5.005,8.03,5.0,5,0.0,0,True,0,312.3,0,1,9,0,,0,0,0,0,362.4,0,1,3,0.0,1,1,205.0,7.0,1,7.0,0.0,0.0
13TH_ST_ISLAND_AV,13TH ST & ISLAND AV,East Village,-117.1532643,32.709928,4.85,57,low,0.833,10.0,12.0,4.854166666666667,20.25,0.0,0,0.0,0,True,0,312.3,0,1,8,0,,0,0,0,0,440.5,0,0,4,4.854166666666667,1,1,127.6,7.0,1,7.0,0.0,0.0
08TH_AV_MARKET_ST,08TH AV & MARKET ST,East Village,-117.1578318,32.7109649,4.81,58,low,0.833,10.0,12.0,4.8125,11.5,4.0,4,0.0,0,True,0,195.6,1,3,15,0,,0,0,0,0,239.4,0,2,2,0.0,3,0,528.5,0.0,0,0.0,4.81,4.81
INDIA_ST_W_B_ST,INDIA ST & W B ST,Columbia,-117.1687224,32.7167409,4.75,59,low,0.75,9.0,12.0,4.7525,15.03,5.0,5,0.0,0,True,0,86.6,2,2,10,0,,0,0,0,0,683.8,0,0,1,4.7525,2,0,674.1,0.0,0,0.0,4.75,4.75
14TH_ST_MARKET_ST,14TH ST & MARKET ST,East Village,-117.1523631,32.7109961,4.69,60,low,0.75,9.0,12.0,4.6875,11.5,0.0,0,0.0,0,True,0,228.1,0,2,8,0,,0,0,0,0,436.4,0,0,3,4.6875,2,1,170.0,7.0,1,7.0,0.0,0.0
PARK_BL_B_ST,PARK BL & B ST,City Center,-117.1542247,32.7172888,4.69,60,low,0.917,11.0,12.0,4.6875,11.75,11.75,10,1.0,0,True,0,508.8,0,0,4,0,,0,0,0,0,529.3,0,0,4,4.6875,0,0,532.7,0.0,0,0.0,4.69,4.69
PARK_BL_A_ST,PARK BL & A ST,City Center,-117.1542312,32.7183468,4.67,62,low,0.75,9.0,12.0,4.671666666666667,15.03,1.0,1,0.0,0,True,0,548.3,0,0,4,0,,0,0,0,0,631.1,0,0,4,4.671666666666667,0,0,586.5,0.0,0,0.0,4.67,4.67
03RD_AV_ASH_ST,03RD AV & ASH ST,Cortez,-117.162472,32.7193651,4.61,63,low,0.917,11.0,12.0,4.609166666666667,15.0,3.0,3,0.0,0,True,0,446.5,0,0,7,0,,0,0,0,1,29.6,1,2,6,0.0,0,0,512.5,0.0,0,0.0,4.61,4.61
16TH_ST_K_ST,16TH ST & K ST,East Village,-117.1506552,32.7073213,4.54,64,low,0.917,11.0,12.0,4.5441666666666665,10.03,10.03,8,0.0,1,True,0,359.1,0,1,5,0,,0,0,0,0,384.3,0,2,2,0.0,1,1,273.3,7.0,1,7.0,0.0,0.0
10TH_AV_G_ST,10TH AV & G ST,East Village,-117.1560204,32.7120547,4.5,65,low,0.75,9.0,12.0,4.5,18.25,1.0,1,0.0,0,True,0,384.7,0,1,13,0,,0,0,0,0,94.3,2,2,2,0.0,1,0,471.9,0.0,0,0.0,4.5,4.5
03RD_AV_C_ST,03RD AV & C ST,City Center,-117.162456,32.7162277,4.5,65,low,0.833,10.0,12.0,4.5,16.75,2.0,2,0.0,0,True,0,142.8,2,5,8,0,,0,0,0,0,365.1,0,1,5,0.0,5,1,288.5,0.23,0,0.23,4.5,0.0
I-5_SB_IMPERIAL_AV,I-5 SB & IMPERIAL AV,East Village,-117.1479977,32.7057081,4.41,67,low,0.667,8.0,12.0,4.411666666666666,14.28,0.0,0,0.0,0,True,0,565.4,0,0,2,0,,0,0,0,0,236.5,0,1,2,0.0,0,0,564.5,0.0,0,0.0,4.41,4.41
06TH_AV_C_ST,06TH AV & C ST,City Center,-117.1597014,32.7162296,4.34,68,low,0.833,10.0,12.0,4.335833333333333,16.0,16.0,16,0.0,0,True,1,19.1,4,4,9,0,,0,0,0,0,396.2,0,1,5,0.0,4,1,83.4,0.23,0,0.23,4.34,0.0
05TH_AV_B_ST,05TH AV & B ST,City Center,-117.160627,32.7172852,4.31,69,low,0.75,9.0,12.0,4.3125,28.0,2.0,2,0.0,0,True,0,160.4,1,5,8,0,,0,0,0,0,287.2,0,1,6,0.0,5,1,225.0,0.23,0,0.23,4.31,0.0
04TH_AV_BEECH_ST,04TH AV & BEECH ST,Cortez,-117.1615763,32.7204154,4.29,70,low,0.667,8.0,12.0,4.291666666666667,16.0,0.0,0,0.0,0,True,0,508.0,0,0,7,0,,0,0,0,0,65.5,2,3,6,0.0,0,0,516.3,0.0,0,0.0,4.29,4.29
KETTNER_BL_W_A_ST,KETTNER BL & W A ST,Columbia,-117.1696087,32.7172597,4.27,71,low,0.833,10.0,12.0,4.270833333333333,7.75,5.0,5,0.0,0,True,0,177.0,1,2,8,0,,0,0,0,0,737.4,0,0,1,4.270833333333333,2,0,652.0,0.0,0,0.0,4.27,4.27
06TH_AV_BROADWAY,06TH AV & BROADWAY,Gaslamp,-117.1597059,32.7151784,4.25,72,low,0.917,11.0,12.0,4.25,13.0,8.0,8,0.0,0,True,0,49.3,4,4,10,0,,0,0,0,0,307.4,0,1,4,0.0,4,1,40.7,0.23,0,0.23,4.25,0.0
09TH_AV_F_ST,09TH AV & F ST,East Village,-117.1569871,32.7131219,4.19,73,low,1.0,12.0,12.0,4.1925,11.5,4.029999999999999,2,0.0,1,True,0,319.0,0,1,14,0,,0,0,0,2,35.4,2,2,2,0.0,1,1,354.2,0.23,0,0.23,4.19,0.0
03RD_AV_J_ST,03RD AV & J ST,Marina,-117.1623282,32.7084097,4.19,73,low,0.75,9.0,12.0,4.19,13.0,0.0,0,0.0,0,True,0,184.2,1,6,12,0,,0,0,0,0,719.8,0,0,2,4.19,6,0,832.6,0.0,0,0.0,4.19,4.19
17TH_ST_F_ST,17TH ST & F ST,East Village,-117.1490065,32.7131541,4.18,75,low,0.917,11.0,12.0,4.1825,23.75,1.75,0,1.0,0,True,0,184.1,1,2,2,0,,0,0,0,0,390.1,0,1,3,0.0,2,0,494.0,0.0,0,0.0,4.18,4.18
13TH_ST_J_ST,13TH ST & J ST,East Village,-117.1532612,32.7088911,3.94,76,low,0.417,5.0,12.0,3.9375,15.75,0.0,0,0.0,0,True,0,354.1,0,2,8,0,,0,0,0,0,521.4,0,0,4,3.9375,2,1,136.2,7.0,1,7.0,0.0,0.0
04TH_AV_G_ST,04TH AV & G ST,Marina,-117.1615051,32.7120166,3.92,77,low,0.917,11.0,12.0,3.9166666666666665,13.0,3.0,3,0.0,0,True,0,253.2,0,4,16,0,,0,0,0,0,419.0,0,0,2,3.9166666666666665,4,0,430.9,0.0,0,0.0,3.92,3.92
06TH_AV_K_ST,06TH AV & K ST,Gaslamp,-117.1596315,32.7077977,3.67,78,low,0.917,11.0,12.0,3.6666666666666665,6.0,2.0,2,0.0,0,True,1,33.8,5,8,9,0,,0,0,0,0,629.4,0,0,2,3.6666666666666665,8,0,739.5,0.0,0,0.0,3.67,3.67
FRONT_ST_W_ASH_ST,FRONT ST & W ASH ST,Cortez,-117.1651687,32.7193522,3.67,78,low,0.583,7.0,12.0,3.6666666666666665,11.0,1.0,1,0.0,0,True,0,303.2,0,2,7,0,,0,0,0,0,278.5,0,2,6,0.0,2,1,371.9,0.46,0,0.46,3.67,0.0
13TH_ST_IMPERIAL_AV,13TH ST & IMPERIAL AV,East Village,-117.1529333,32.7061363,3.67,78,low,0.25,3.0,12.0,3.6666666666666665,29.0,10.0,10,0.0,0,True,0,414.3,0,0,9,0,,0,0,0,0,400.0,0,1,2,0.0,0,1,384.5,7.0,1,7.0,0.0,0.0
I-5_SB_ON_RA_C_ST,I-5 SB ON RA & C ST,East Village,-117.1483469,32.7162533,3.64,81,low,0.667,8.0,12.0,3.645,21.0,21.0,0,12.0,0,True,0,532.7,0,0,2,0,,0,0,0,0,720.2,0,0,1,3.645,0,0,826.0,0.0,0,0.0,3.64,3.64
06TH_AV_MARKET_ST,06TH AV & MARKET ST,Gaslamp,-117.1596713,32.7109659,3.42,82,low,0.833,10.0,12.0,3.4166666666666665,12.0,3.0,3,0.0,0,True,0,215.5,0,4,14,0,,0,0,0,0,341.8,0,2,2,0.0,4,0,505.0,0.0,0,0.0,3.42,3.42
13TH_ST_L_ST,13TH ST & L ST,East Village,-117.1532624,32.7068048,3.35,83,low,0.833,10.0,12.0,3.3541666666666665,8.0,2.0,2,0.0,0,True,0,361.1,0,1,9,0,,0,0,0,0,470.8,0,0,3,3.3541666666666665,1,1,322.5,7.0,1,7.0,0.0,0.0
11TH_AV_BROADWAY,11TH AV & BROADWAY,City Center,-117.1551477,32.715209,3.33,84,low,0.833,10.0,12.0,3.333333333333333,13.75,1.0,1,0.0,0,True,0,379.7,0,1,8,0,,0,0,0,0,292.9,0,2,2,0.0,1,0,408.9,0.0,0,0.0,3.33,3.33
04TH_AV_A_ST,04TH AV & A ST,City Center,-117.161562,32.7183232,3.31,85,low,0.833,10.0,12.0,3.3125,7.75,2.0,2,0.0,0,True,0,305.2,0,4,8,0,,0,0,0,0,144.0,1,2,6,0.0,4,1,368.9,0.23,0,0.23,3.31,0.0
05TH_AV_ASH_ST,05TH AV & ASH ST,Cortez,-117.1606493,32.7193752,3.29,86,low,0.833,10.0,12.0,3.2916666666666665,6.0,0.0,0,0.0,0,True,0,369.5,0,1,7,0,,0,0,0,0,145.9,2,2,7,0.0,1,0,444.6,0.0,0,0.0,3.29,3.29
11TH_AV_A_ST,11TH AV & A ST,City Center,-117.1551703,32.7183485,3.15,87,low,0.917,11.0,12.0,3.145833333333333,8.0,4.75,3,1.0,0,True,0,470.8,0,0,4,0,,0,0,0,0,596.3,0,0,5,3.145833333333333,0,0,514.8,0.0,0,0.0,3.15,3.15
12TH_AV_PARK_BL,12TH AV & PARK BL,East Village,-117.1545023,32.7069832,3.12,88,low,0.667,8.0,12.0,3.125,16.5,1.0,1,0.0,0,True,0,243.8,0,2,10,0,,0,0,0,0,574.3,0,0,4,3.125,2,1,365.3,7.0,1,7.0,0.0,0.0
